Task name,Date,Tags,Status,Repo/PR,Notes
[indexer] Validator voting analysis for delegationsSubDao,"April 30, 2023","Indexer, Juno",Done,https://github.com/Reecepbcups/cosmos-indexer/blob/main/scripts/get_all_validators_votes.py,
[indexer] Relaying Analysis for Delegations subDAO,"April 30, 2023","Indexer, Juno",Done,https://gist.github.com/Reecepbcups/80c84ce39ad00d8cb011a08a7a20bd1bhttps://github.com/Reecepbcups/cosmos-indexer/blob/main/scripts/get_relayers.py,Cosmos Indexer FTW
Migration to v47. TON OF WORK HERE,"April 28, 2023",Juno,Done,https://github.com/CosmosContracts/juno/compare/d80493c2ff...d55d91a,"Took everything which was just thrown in and actually made something of it. "
"[CI] Wasm Contracts, parallel testing after building artifacts ","April 27, 2023",,Done,https://github.com/Reecepbcups/cw-work-journal/pull/2,Going to use this to improve Juno’s main CI in the future when we add wasm testing
[indexer] Adds TxHash for every Tx,"April 25, 2023",Indexer,Done,https://github.com/Reecepbcups/cosmos-indexer/pull/14,
[cosmos-cache] Allow multiple threads in docker. Launch v0.0.9 w/ no redis cache,"April 24, 2023",CosmosCache,Done,https://github.com/Reecepbcups/cosmos-endpoint-cache/pull/33/commits/09943722b6c26457707e5cd68220957a991723d5,
[v15] Increasing signed window + ictest for faster blocks,"April 24, 2023",Juno,In progress,in v15 initial PR from me,asking the team if we should do more than double
[blog] Personal post about Juno & my future,"April 23, 2023",Writing,Done,https://medium.com/@reecepbcups/juno-my-focus-path-forward-363abd14bbf5,
[exports] http://exports.reece.sh/juno now exports account sequences,"April 22, 2023",Scripts,Done,,Useful for airdrops / list for the most active members in tandem with an indexer
[analytics] Juno msgs/txs since genesis,"April 22, 2023","Analytics, Indexer",Done,,https://twitter.com/reecepbcups_/status/1649643826527576064?s=46
"[Call] PersistanceOne MeshSec., Indexer, CosmosCache, Infra","April 21, 2023",Meeting,Done,,w/ Jeroen
[Indexer] Get all voters for specific props & output,"April 20, 2023",Indexer,In progress,https://github.com/Reecepbcups/cosmos-indexer/commit/556411484d6b33f3afde3deb4cb653af78a53acc,
[CosmosCache] Testing new KVStore rewrite (-redis). v15 requirement,"April 19, 2023",CosmosCache,Done,https://github.com/Reecepbcups/cosmos-endpoint-cache/pull/33,Need to work on wss passthrough & events for Keplr ugh
