Task name,Date,Tags,Repo/PR,Notes,Created time
[Feature]: permissionless erc20 <-> cosmos coin,"March 22, 2025","cosmos, evm",https://github.com/cosmos/evm/issues/17,,"March 22, 2025 6:22 PM"
dnm(poc): Permissionless ERC20 to Cosmos Coin,"March 22, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/35,,"March 22, 2025 5:58 PM"
feat: multistaking precompile,"March 22, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/34,"found a bug in multistaking, hacked through a fix","March 22, 2025 12:31 PM"
refactor: entire codebase,"March 20, 2025",docci,"https://github.com/Reecepbcups/docci/pull/34
https://github.com/Reecepbcups/docci/releases/tag/v0.5.0",huge overhaul,"March 20, 2025 11:27 PM"
feat: download wit .wasm from upstream,"March 20, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/95,,"March 20, 2025 4:54 PM"
feat: if file does not exist run,"March 20, 2025",docci,https://github.com/Reecepbcups/docci/pull/32,,"March 20, 2025 4:48 PM"
review: feat: multistaking + incentive,"March 20, 2025","Ondo, Review",https://github.com/ondoprotocol/ondochain/pull/30,,"March 20, 2025 1:22 PM"
get working CI with Ubuntu (tinygo >0.35 issue with reflect.Arrayof problem),"March 20, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/70,got this fixed with a fork of go-eth so that tinygo can compile on newer versions,"March 20, 2025 11:22 AM"
feat: tag aliases,"March 20, 2025",docci,https://github.com/Reecepbcups/docci/pull/31,,"March 20, 2025 9:33 AM"
test: main readme with docci,"March 20, 2025",docci,https://github.com/Reecepbcups/docci/pull/30,,"March 20, 2025 9:33 AM"
feat: 2 second blocks (+ validator docs & testnet genesis base) ,"March 19, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/26,,"March 19, 2025 5:11 PM"
feat: sanction + block/allow list precompiles,"March 19, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/27,finished woo!,"March 19, 2025 3:05 PM"
review: try to execute solidity script,"March 19, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/455,,"March 19, 2025 12:44 PM"
review: feat: oracle precompile,"March 19, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/29,,"March 19, 2025 12:09 PM"
feat: multi language support,"March 19, 2025",wavs,https://github.com/Lay3rLabs/wavs-wasi/pull/6,so close to having golang be ready,"March 18, 2025 9:14 PM"
"chore(deps): ibc-go v10, remove ibc fee, wasmd v0.55 for Simon","March 18, 2025",TokenFactory,https://github.com/strangelove-ventures/tokenfactory/pull/30,,"March 18, 2025 6:21 PM"
feat(e2e): docci support,"March 18, 2025","docci, wavs",https://github.com/Lay3rLabs/wavs-foundry-template/pull/91,,"March 18, 2025 4:49 PM"
restructure versions so I can get PRs in (main) & official 0.3 branch for public,"March 18, 2025",wavs,,,"March 18, 2025 4:48 PM"
evan - docci + docs,"March 18, 2025","Docs, Meeting, docci",,,"March 18, 2025 3:47 PM"
feat: evm PostTxProcessing hooks,"March 18, 2025",evm,https://github.com/cosmos/evm/pull/2,,"March 18, 2025 1:13 PM"
fix(rpc): cast send --legacy support,"March 18, 2025","cosmos, evm",https://github.com/cosmos/evm/pull/1,,"March 18, 2025 1:12 PM"
refactor!: cosmos/evm repo,"March 18, 2025","CosmosSDK, Ondo",https://github.com/ondoprotocol/ondochain/pull/28,,"March 18, 2025 1:12 PM"
feat: sanction precompile,"March 18, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/27,,"March 18, 2025 1:12 PM"
Launched CosmosEVM in spawn,"March 18, 2025",Spawn,https://github.com/rollchains/spawn/releases/tag/v0.50.13,,"March 18, 2025 10:13 AM"
PR review with Joel for precompiles,"March 17, 2025","Meeting, Ondo",https://github.com/ondoprotocol/ondochain/pull/26/files,,"March 17, 2025 8:39 PM"
Ondo val docs,"March 17, 2025","Docs, Ondo",,,"March 17, 2025 8:39 PM"
Finalized EVM support & e2e test,"March 17, 2025","Spawn, evm",https://github.com/rollchains/spawn/pull/289,,"March 17, 2025 5:42 PM"
feat: source code modification from documentation,"March 16, 2025","Docs, docs-ci",https://github.com/Reecepbcups/docs-ci/pull/10,,"March 16, 2025 4:12 PM"
